Feature,Ensemble_Importance,GNN_Original,RF_Original
Tau_PVC_ENTCTX_baseline,100.00000000000001,49.780718349228735,6.255711577993189
Tau_PVC_MTL_baseline,50.4837867526537,5.075842545686758,5.49880416973487
change_std,49.02829258089388,10.076012607518802,4.73214192198817
Tau_PVC_META_TEMPORAL_baseline,39.75805569833258,3.836464114638964,4.33932995323868
Tau_PVC_ENTCTX_annual_change,31.156922178544338,5.8018480790358655,3.06064883925194
Tau_PVC_INFPAR_baseline,30.225799754901278,-0.0909705016179913,3.6420383729853
Tau_PVC_TEMPLOBE_baseline,30.168397084559228,-0.6743806982034135,3.70383183923228
change_max,28.205168593486853,1.6688172612155814,3.18860780497935
Tau_PVC_MTL_annual_change,27.78579802261375,2.483624756253085,3.04149864679173
Tau_PVC_LTL_baseline,26.85530645346016,-0.587271807712988,3.29027610348138
Tau_PVC_LTL_annual_change,25.45675655500218,-2.26881603355028,3.3182822499843
Tau_PVC_LATPAR_annual_change,24.35055884481215,1.7803964392876306,2.7062507235635898
Tau_PVC_INFPAR_percent_change,22.721754938211944,1.6324451610968505,2.52542713651044
Tau_PVC_PRECUNEUS_percent_change,22.3316105485437,1.7373275256043728,2.46557174996156
Tau_PVC_INFPAR_annual_change,22.282157407477026,-1.2101786132252277,2.80704659992488
Tau_PVC_PRECUNEUS_baseline,22.159876084220762,-0.4699769420306339,2.70489625228127
Tau_PVC_PARLOBE_percent_change,20.87538457100146,0.7349262324099276,2.4064901093795403
Tau_PVC_MTL_percent_change,20.69158395311663,2.8160792858449555,2.1387606338087903
Tau_PVC_META_TEMPORAL_percent_change,20.364535752400705,-0.2179432943411985,2.4566450204853
Tau_PVC_PARLOBE_baseline,20.232476814709305,-0.8640600179399917,2.51674369956201
Tau_PVC_LATPAR_percent_change,20.05954678718211,-0.1585977526479682,2.4125237186735
Tau_PVC_LTL_percent_change,19.730606355130913,-0.144504758813056,2.37082194666622
Tau_PVC_META_TEMPORAL_annual_change,19.705143084899063,-2.668720456788064,2.66531338229716
Tau_PVC_PRECUNEUS_annual_change,19.50376179532849,-2.610569876192949,2.63394460800244
Tau_PVC_TEMPLOBE_annual_change,19.403954232021917,-0.4982887150791958,2.37276935990917
Tau_PVC_LATPAR_baseline,19.199791830804482,-0.2467104104608201,2.31825800478263
Tau_PVC_ENTCTX_percent_change,18.931845900789934,2.128906214622871,2.00557032501923
change_mean,17.98849956738414,-1.6167798500275898,2.3323369538512497
Tau_PVC_TEMPLOBE_percent_change,17.48574022414222,-2.766767643814422,2.40671570100294
Tau_PVC_PARLOBE_annual_change,17.294689143704744,-0.1568895872045784,2.0757699334412
