feature,ensemble_importance,weighted_ensemble,consensus_importance,gnn_importance,rf_importance
Tau_PVC_ENTCTX_baseline,100.0,100.0,100.0,49.780718349228735,6.255711577993189
gender,50.453258897538234,50.77579576141393,69.6969696969697,30.600050595910638,2.46705453577678
Tau_PVC_MTL_baseline,49.048470681339154,47.910967066557205,92.42424242424242,5.075842545686758,5.49880416973487
change_std,47.94296808005535,47.13190897940823,92.42424242424242,10.076012607518802,4.73214192198817
age,45.52962808314604,44.33055173254966,84.84848484848484,2.2772235282657767,5.41023633073245
Tau_PVC_META_TEMPORAL_baseline,38.536308084131505,37.633685348926086,86.36363636363636,3.836464114638964,4.33932995323868
Tau_PVC_ENTCTX_annual_change,30.290240229871877,29.74463556762291,80.3030303030303,5.8018480790358655,3.06064883925194
Tau_PVC_INFPAR_baseline,29.018333785533653,28.16339010931176,68.18181818181817,-0.0909705016179913,3.6420383729853
Tau_PVC_TEMPLOBE_baseline,28.926250076861443,28.03968997823933,56.060606060606055,-0.6743806982034135,3.70383183923228
change_max,27.161740706673783,26.464653404806732,68.18181818181817,1.6688172612155814,3.18860780497935
Tau_PVC_MTL_annual_change,26.804338630331536,26.165637011525472,72.72727272727273,2.483624756253085,3.04149864679173
Tau_PVC_LTL_baseline,25.70831746281047,24.921094580659382,53.03030303030303,-0.587271807712988,3.29027610348138
Tau_PVC_LTL_annual_change,24.243210727256614,23.399985360983028,45.45454545454545,-2.26881603355028,3.3182822499843
Tau_PVC_LATPAR_annual_change,23.418477940315388,22.83754755815613,65.15151515151516,1.7803964392876306,2.7062507235635898
Tau_PVC_INFPAR_percent_change,21.824607009177065,21.281640141803372,54.54545454545454,1.6324451610968505,2.52542713651044
Tau_PVC_PRECUNEUS_percent_change,21.45154547544173,20.92566953973981,53.03030303030303,1.7373275256043728,2.46557174996156
Tau_PVC_INFPAR_annual_change,21.220360332892582,20.527899656119008,42.42424242424242,-1.2101786132252277,2.80704659992488
Tau_PVC_PRECUNEUS_baseline,21.147365896354987,20.500576234398817,46.96969696969697,-0.4699769420306339,2.70489625228127
Tau_PVC_PARLOBE_percent_change,19.972507069359747,19.430979353740792,42.42424242424242,0.7349262324099276,2.4064901093795403
Tau_PVC_MTL_percent_change,19.922947231416018,19.505270544790854,46.96969696969697,2.8160792858449555,2.1387606338087903
Tau_PVC_META_TEMPORAL_percent_change,19.416313148648886,18.83502792363396,39.39393939393939,-0.2179432943411985,2.4566450204853
Tau_PVC_PARLOBE_baseline,19.247700775361,18.633351725699583,34.84848484848485,-0.8640600179399917,2.51674369956201
Tau_PVC_LATPAR_percent_change,19.123271958464088,18.554056661615554,39.39393939393939,-0.1585977526479682,2.4125237186735
Tau_PVC_LTL_percent_change,18.804117450981494,18.2450751595902,36.36363636363637,-0.144504758813056,2.37082194666622
Tau_PVC_META_TEMPORAL_annual_change,18.62256318216428,17.920378285034584,30.303030303030305,-2.668720456788064,2.66531338229716
Tau_PVC_TEMPLOBE_annual_change,18.46434017529584,17.894438524917025,28.78787878787879,-0.4982887150791958,2.37276935990917
Tau_PVC_PRECUNEUS_annual_change,18.430248840963223,17.73711453013902,30.303030303030305,-2.610569876192949,2.63394460800244
Tau_PVC_LATPAR_baseline,18.28133398797392,17.731586575048745,27.27272727272727,-0.2467104104608201,2.31825800478263
Tau_PVC_ENTCTX_percent_change,18.16819756713284,17.761481018254706,39.39393939393939,2.128906214622871,2.00557032501923
change_mean,17.01775821681663,16.424426875518066,18.181818181818183,-1.6167798500275898,2.3323369538512497
Tau_PVC_TEMPLOBE_percent_change,16.457191486619248,15.812637434699498,16.666666666666664,-2.766767643814422,2.40671570100294
Tau_PVC_PARLOBE_annual_change,16.433417064884846,15.943055302386158,28.78787878787879,-0.1568895872045784,2.0757699334412
education,9.21418772370003,8.83714502817466,9.090909090909092,-1.823923211749502,1.38202997199579
apoe_e4,-0.5914373199261784,-0.7714603874679516,0.0,-3.355332525220945,0.34765182271051
